Date, Filename,Ref2IMU_X, Ref2IMU_Y, Ref2IMU_Z, Ref2PrimaryGPS_X, Ref2PrimaryGPS_Y, Ref2PrimaryGPS_Z, Ref2Aux1GPS_X, Ref2Aux1GPS_Y, Ref2Aux1GPS_Z, Ref2Aux2GPS_X, Ref2Aux2GPS_Y, Ref2Aux2GPS_Z, IMU2RefFrameAngle_X, IMU2RefFrameAngle_Y, IMU2RefFrameAngle_Z, RefFrame2VesselFrameAngle_X, RefFrame2VesselFrameAngle_Y, RefFrame2VesselFrameAngle_Z 
2017-04-03 01:39:21.801682, 20170403_0138.000, -0.179, -0.012, -1.917, 3.041, -0.160, -2.815, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000,   
Date, Filename,Ref2IMU_X, Ref2IMU_Y, Ref2IMU_Z, Ref2PrimaryGPS_X, Ref2PrimaryGPS_Y, Ref2PrimaryGPS_Z, Ref2Aux1GPS_X, Ref2Aux1GPS_Y, Ref2Aux1GPS_Z, Ref2Aux2GPS_X, Ref2Aux2GPS_Y, Ref2Aux2GPS_Z, IMU2RefFrameAngle_X, IMU2RefFrameAngle_Y, IMU2RefFrameAngle_Z, RefFrame2VesselFrameAngle_X, RefFrame2VesselFrameAngle_Y, RefFrame2VesselFrameAngle_Z 
2017-04-03 03:08:51.809526, 20170403_0138.001, -0.179, -0.012, -1.917, 3.041, -0.160, -2.815, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,0.000, 0.000, 0.000, 0.000, 0.000, 0.000,   
